City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City,City datetime
7.578333,126.504167,297.32,94,96,1.96,PH,mahanub,1651351843
-3.4166667,10.65,298.65,90,93,0.91,GA,mayumba,1651351844
11.2743,124.0579,299.81,83,100,5.08,PH,maya,1651351845
27.016667,78.316667,306.14,12,1,2.9,IN,fatehabad,1651351845
23.916667,-106.9,302.02,37,47,5.11,MX,la cruz,1651351846
35.1980556,-111.6505556,296.77,13,77,0.45,US,flagstaff,1651351847
6.81449,-75.240634,292.94,82,87,1.6,CO,guadalupe,1651351847
53.006389,91.483611,285.46,58,67,3.16,RU,mayna,1651351848
5.265977,-76.564874,302.05,92,100,1.71,CO,tado,1651351849
-21.433333,-45.95,290.64,92,66,1.92,BR,alfenas,1651351850
-33.917988,25.570066,288.88,79,5,2.68,ZA,port elizabeth,1651351616
55.317331,38.652642,275.42,70,36,1.51,RU,voskresensk,1651351851
40.8013889,-72.8680556,291.73,27,0,6.17,US,shirley,1651351851
22.5661111,91.9325,296.2,97,16,1.75,BD,raozan,1651351852
40.6369444,22.3877778,291.22,84,99,0.15,GR,nision,1651351853
7.133333,124.816667,296.03,94,67,0.83,PH,malapag,1651351854
6.060278,125.385278,297.49,88,92,1.26,PH,suyan,1651351854
11.6237,122.4649,297.14,100,98,3.0,PH,cawayan,1651351855
20.383333,-103.833333,307.88,6,95,1.65,MX,cocula,1651351856
47.0,12.533333,281.46,93,100,2.03,AT,matrei,1651351856
52.676543,4.702946,281.47,74,89,0.45,NL,bergen,1651351857
46.15,27.3,284.41,66,76,1.99,RO,corbita,1651351858
41.0166667,23.4833333,288.22,82,100,1.07,GR,kato kamila,1651351858
42.1166667,-86.4541667,291.65,71,100,8.75,US,benton harbor,1651351859
44.866667,25.916667,284.9,66,65,1.94,RO,targsorul-vechi,1651351860
58.266667,12.3,281.25,70,100,1.54,SE,trollhattan,1651351861
33.072778,107.030278,283.35,56,100,0.68,CN,hanzhong,1651351861
14.2733,120.7377,301.08,85,100,3.89,PH,maragondon,1651351862
56.0,-4.583333,284.42,87,100,7.72,GB,balloch,1651351863
46.866667,27.55,284.1,76,16,1.1,RO,rebricea,1651351570
40.3338889,44.3777778,287.18,65,78,1.5,AM,karbi,1651351864
15.266667,-90.2,298.24,71,72,1.65,GT,purulha,1651351865
56.316667,38.7,272.25,74,8,1.35,RU,karabanovo,1651351865
40.8808333,-88.6297222,295.86,78,100,7.72,US,pontiac,1651351866
19.133333,-98.233333,296.24,35,78,4.87,MX,almecatla,1651351867
10.3999,123.0178,297.2,83,90,1.95,PH,haguimit,1651351867
-11.716667,-40.133333,297.53,62,88,3.88,BR,mairi,1651351868
45.183333,25.766667,280.73,82,65,2.06,RO,brebu,1651351869
